game,commence_time,bookmaker,team,decimal_odds,implied_prob,market,avg_decimal,rank,role,league
Atlanta Falcons vs Tampa Bay Buccaneers,2025-09-07 17:00:00+00:00,LowVig.ag,Over 47.0,1.87,0.53475935828877,totals,1.86,1.0,favorite,americanfootball_nfl
Atlanta Falcons vs Tampa Bay Buccaneers,2025-09-07 17:00:00+00:00,BetOnline.ag,Over 47.0,1.85,0.5405405405405405,totals,1.86,1.0,favorite,americanfootball_nfl
Atlanta Falcons vs Tampa Bay Buccaneers,2025-09-07 17:00:00+00:00,DraftKings,Tampa Bay Buccaneers,1.74,0.5747126436781609,h2h,1.7292307692307693,1.0,favorite,americanfootball_nfl
Atlanta Falcons vs Tampa Bay Buccaneers,2025-09-07 17:00:00+00:00,LowVig.ag,Tampa Bay Buccaneers,1.71,0.5847953216374269,h2h,1.7292307692307693,1.0,favorite,americanfootball_nfl
Atlanta Falcons vs Tampa Bay Buccaneers,2025-09-07 17:00:00+00:00,BetOnline.ag,Tampa Bay Buccaneers,1.71,0.5847953216374269,h2h,1.7292307692307693,1.0,favorite,americanfootball_nfl
Atlanta Falcons vs Tampa Bay Buccaneers,2025-09-07 17:00:00+00:00,ESPN BET,Tampa Bay Buccaneers,1.74,0.5747126436781609,h2h,1.7292307692307693,1.0,favorite,americanfootball_nfl
Atlanta Falcons vs Tampa Bay Buccaneers,2025-09-07 17:00:00+00:00,MyBookie.ag,Tampa Bay Buccaneers,1.72,0.5813953488372093,h2h,1.7292307692307693,1.0,favorite,americanfootball_nfl
Atlanta Falcons vs Tampa Bay Buccaneers,2025-09-07 17:00:00+00:00,BetRivers,Tampa Bay Buccaneers,1.75,0.5714285714285714,h2h,1.7292307692307693,1.0,favorite,americanfootball_nfl
Atlanta Falcons vs Tampa Bay Buccaneers,2025-09-07 17:00:00+00:00,betPARX,Tampa Bay Buccaneers,1.75,0.5714285714285714,h2h,1.7292307692307693,1.0,favorite,americanfootball_nfl
Atlanta Falcons vs Tampa Bay Buccaneers,2025-09-07 17:00:00+00:00,Bally Bet,Tampa Bay Buccaneers,1.75,0.5714285714285714,h2h,1.7292307692307693,1.0,favorite,americanfootball_nfl
Atlanta Falcons vs Tampa Bay Buccaneers,2025-09-07 17:00:00+00:00,Hard Rock Bet,Tampa Bay Buccaneers,1.74,0.5747126436781609,h2h,1.7292307692307693,1.0,favorite,americanfootball_nfl
Atlanta Falcons vs Tampa Bay Buccaneers,2025-09-07 17:00:00+00:00,BetMGM,Tampa Bay Buccaneers,1.71,0.5847953216374269,h2h,1.7292307692307693,1.0,favorite,americanfootball_nfl
Atlanta Falcons vs Tampa Bay Buccaneers,2025-09-07 17:00:00+00:00,BetUS,Tampa Bay Buccaneers,1.71,0.5847953216374269,h2h,1.7292307692307693,1.0,favorite,americanfootball_nfl
Atlanta Falcons vs Tampa Bay Buccaneers,2025-09-07 17:00:00+00:00,Bovada,Tampa Bay Buccaneers,1.74,0.5747126436781609,h2h,1.7292307692307693,1.0,favorite,americanfootball_nfl
Atlanta Falcons vs Tampa Bay Buccaneers,2025-09-07 17:00:00+00:00,Fliff,Tampa Bay Buccaneers,1.71,0.5847953216374269,h2h,1.7292307692307693,1.0,favorite,americanfootball_nfl
Atlanta Falcons vs Tampa Bay Buccaneers,2025-09-07 17:00:00+00:00,BetUS,Tampa Bay Buccaneers -1.5,1.87,0.53475935828877,spreads,1.87,1.0,favorite,americanfootball_nfl
Buffalo Bills vs Baltimore Ravens,2025-09-08 00:20:00+00:00,DraftKings,Baltimore Ravens,1.93,0.5181347150259068,h2h,1.8960000000000001,1.0,favorite,americanfootball_nfl
Buffalo Bills vs Baltimore Ravens,2025-09-08 00:20:00+00:00,ESPN BET,Baltimore Ravens,1.87,0.53475935828877,h2h,1.8960000000000001,1.0,favorite,americanfootball_nfl
Buffalo Bills vs Baltimore Ravens,2025-09-08 00:20:00+00:00,Bally Bet,Baltimore Ravens,1.91,0.5235602094240838,h2h,1.8960000000000001,1.0,favorite,americanfootball_nfl
Buffalo Bills vs Baltimore Ravens,2025-09-08 00:20:00+00:00,BetRivers,Baltimore Ravens,1.91,0.5235602094240838,h2h,1.8960000000000001,1.0,favorite,americanfootball_nfl
Buffalo Bills vs Baltimore Ravens,2025-09-08 00:20:00+00:00,betPARX,Baltimore Ravens,1.91,0.5235602094240838,h2h,1.8960000000000001,1.0,favorite,americanfootball_nfl
Buffalo Bills vs Baltimore Ravens,2025-09-08 00:20:00+00:00,MyBookie.ag,Baltimore Ravens,1.91,0.5235602094240838,h2h,1.8960000000000001,1.0,favorite,americanfootball_nfl
Buffalo Bills vs Baltimore Ravens,2025-09-08 00:20:00+00:00,BetMGM,Baltimore Ravens,1.91,0.5235602094240838,h2h,1.8960000000000001,1.0,favorite,americanfootball_nfl
Buffalo Bills vs Baltimore Ravens,2025-09-08 00:20:00+00:00,Hard Rock Bet,Baltimore Ravens,1.91,0.5235602094240838,h2h,1.8960000000000001,1.0,favorite,americanfootball_nfl
Buffalo Bills vs Baltimore Ravens,2025-09-08 00:20:00+00:00,Bovada,Baltimore Ravens,1.87,0.53475935828877,h2h,1.8960000000000001,1.0,favorite,americanfootball_nfl
Buffalo Bills vs Baltimore Ravens,2025-09-08 00:20:00+00:00,Fliff,Baltimore Ravens,1.83,0.5464480874316939,h2h,1.8960000000000001,1.0,favorite,americanfootball_nfl
Buffalo Bills vs Baltimore Ravens,2025-09-08 00:20:00+00:00,DraftKings,Baltimore Ravens 1.5,1.85,0.5405405405405405,spreads,1.8250000000000002,1.0,favorite,americanfootball_nfl
Buffalo Bills vs Baltimore Ravens,2025-09-08 00:20:00+00:00,ESPN BET,Baltimore Ravens 1.5,1.8,0.5555555555555556,spreads,1.8250000000000002,1.0,favorite,americanfootball_nfl
Buffalo Bills vs Baltimore Ravens,2025-09-08 00:20:00+00:00,LowVig.ag,Under 50.5,1.93,0.5181347150259068,totals,1.9041666666666666,1.0,favorite,americanfootball_nfl
Buffalo Bills vs Baltimore Ravens,2025-09-08 00:20:00+00:00,BetOnline.ag,Under 50.5,1.91,0.5235602094240838,totals,1.9041666666666666,1.0,favorite,americanfootball_nfl
Buffalo Bills vs Baltimore Ravens,2025-09-08 00:20:00+00:00,DraftKings,Under 50.5,1.91,0.5235602094240838,totals,1.9041666666666666,1.0,favorite,americanfootball_nfl
Buffalo Bills vs Baltimore Ravens,2025-09-08 00:20:00+00:00,ESPN BET,Under 50.5,1.95,0.5128205128205129,totals,1.9041666666666666,1.0,favorite,americanfootball_nfl
Buffalo Bills vs Baltimore Ravens,2025-09-08 00:20:00+00:00,Bally Bet,Under 50.5,1.88,0.5319148936170213,totals,1.9041666666666666,1.0,favorite,americanfootball_nfl
Buffalo Bills vs Baltimore Ravens,2025-09-08 00:20:00+00:00,BetRivers,Under 50.5,1.88,0.5319148936170213,totals,1.9041666666666666,1.0,favorite,americanfootball_nfl
Buffalo Bills vs Baltimore Ravens,2025-09-08 00:20:00+00:00,betPARX,Under 50.5,1.88,0.5319148936170213,totals,1.9041666666666666,1.0,favorite,americanfootball_nfl
Buffalo Bills vs Baltimore Ravens,2025-09-08 00:20:00+00:00,MyBookie.ag,Under 50.5,1.91,0.5235602094240838,totals,1.9041666666666666,1.0,favorite,americanfootball_nfl
Buffalo Bills vs Baltimore Ravens,2025-09-08 00:20:00+00:00,BetMGM,Under 50.5,1.91,0.5235602094240838,totals,1.9041666666666666,1.0,favorite,americanfootball_nfl
Buffalo Bills vs Baltimore Ravens,2025-09-08 00:20:00+00:00,Hard Rock Bet,Under 50.5,1.91,0.5235602094240838,totals,1.9041666666666666,1.0,favorite,americanfootball_nfl
Buffalo Bills vs Baltimore Ravens,2025-09-08 00:20:00+00:00,BetUS,Under 50.5,1.91,0.5235602094240838,totals,1.9041666666666666,1.0,favorite,americanfootball_nfl
Buffalo Bills vs Baltimore Ravens,2025-09-08 00:20:00+00:00,Fliff,Under 50.5,1.87,0.53475935828877,totals,1.9041666666666666,1.0,favorite,americanfootball_nfl
Chicago Bears vs Minnesota Vikings,2025-09-09 00:15:00+00:00,LowVig.ag,Chicago Bears 2.0,1.88,0.5319148936170213,spreads,1.865,1.0,favorite,americanfootball_nfl
