game,commence_time,bookmaker,team,decimal_odds,implied_prob,market,avg_decimal,rank,role,league
Arizona Diamondbacks vs Texas Rangers,2025-09-03 01:40:00+00:00,FanDuel,Arizona Diamondbacks,1.91,0.5235602094240838,h2h,1.906923076923077,1.0,favorite,baseball_mlb
Arizona Diamondbacks vs Texas Rangers,2025-09-03 01:40:00+00:00,BetRivers,Arizona Diamondbacks,1.91,0.5235602094240838,h2h,1.906923076923077,1.0,favorite,baseball_mlb
Arizona Diamondbacks vs Texas Rangers,2025-09-03 01:40:00+00:00,Bally Bet,Arizona Diamondbacks,1.91,0.5235602094240838,h2h,1.906923076923077,1.0,favorite,baseball_mlb
Arizona Diamondbacks vs Texas Rangers,2025-09-03 01:40:00+00:00,betPARX,Arizona Diamondbacks,1.91,0.5235602094240838,h2h,1.906923076923077,1.0,favorite,baseball_mlb
Arizona Diamondbacks vs Texas Rangers,2025-09-03 01:40:00+00:00,MyBookie.ag,Arizona Diamondbacks,1.9,0.5263157894736842,h2h,1.906923076923077,1.0,favorite,baseball_mlb
Arizona Diamondbacks vs Texas Rangers,2025-09-03 01:40:00+00:00,ESPN BET,Arizona Diamondbacks,1.87,0.53475935828877,h2h,1.906923076923077,1.0,favorite,baseball_mlb
Arizona Diamondbacks vs Texas Rangers,2025-09-03 01:40:00+00:00,DraftKings,Arizona Diamondbacks,1.88,0.5319148936170213,h2h,1.906923076923077,1.0,favorite,baseball_mlb
Arizona Diamondbacks vs Texas Rangers,2025-09-03 01:40:00+00:00,BetMGM,Arizona Diamondbacks,1.91,0.5235602094240838,h2h,1.906923076923077,1.0,favorite,baseball_mlb
Arizona Diamondbacks vs Texas Rangers,2025-09-03 01:40:00+00:00,Hard Rock Bet,Arizona Diamondbacks,1.87,0.53475935828877,h2h,1.906923076923077,1.0,favorite,baseball_mlb
Arizona Diamondbacks vs Texas Rangers,2025-09-03 01:40:00+00:00,Bovada,Arizona Diamondbacks,1.91,0.5235602094240838,h2h,1.906923076923077,1.0,favorite,baseball_mlb
Arizona Diamondbacks vs Texas Rangers,2025-09-03 01:40:00+00:00,BetOnline.ag,Arizona Diamondbacks,1.94,0.5154639175257733,h2h,1.906923076923077,1.0,favorite,baseball_mlb
Arizona Diamondbacks vs Texas Rangers,2025-09-03 01:40:00+00:00,LowVig.ag,Arizona Diamondbacks,1.94,0.5154639175257733,h2h,1.906923076923077,1.0,favorite,baseball_mlb
Arizona Diamondbacks vs Texas Rangers,2025-09-03 01:40:00+00:00,BetUS,Arizona Diamondbacks,1.93,0.5181347150259068,h2h,1.906923076923077,1.0,favorite,baseball_mlb
Arizona Diamondbacks vs Texas Rangers,2025-09-03 01:40:00+00:00,FanDuel,Over 9.0,1.85,0.5405405405405405,totals,1.8275000000000001,1.0,favorite,baseball_mlb
Arizona Diamondbacks vs Texas Rangers,2025-09-03 01:40:00+00:00,BetRivers,Over 9.0,1.82,0.5494505494505494,totals,1.8275000000000001,1.0,favorite,baseball_mlb
Arizona Diamondbacks vs Texas Rangers,2025-09-03 01:40:00+00:00,Bally Bet,Over 9.0,1.82,0.5494505494505494,totals,1.8275000000000001,1.0,favorite,baseball_mlb
Arizona Diamondbacks vs Texas Rangers,2025-09-03 01:40:00+00:00,betPARX,Over 9.0,1.82,0.5494505494505494,totals,1.8275000000000001,1.0,favorite,baseball_mlb
Arizona Diamondbacks vs Texas Rangers,2025-09-03 01:40:00+00:00,BetAnySports,Texas Rangers 2.5,1.31,0.7633587786259541,spreads,1.31,1.0,favorite,baseball_mlb
Boston Red Sox vs Cleveland Guardians,2025-09-02 22:45:00+00:00,FanDuel,Boston Red Sox,1.37,0.7299270072992701,h2h,1.3828571428571428,1.0,favorite,baseball_mlb
Boston Red Sox vs Cleveland Guardians,2025-09-02 22:45:00+00:00,LowVig.ag,Boston Red Sox,1.4,0.7142857142857143,h2h,1.3828571428571428,1.0,favorite,baseball_mlb
Boston Red Sox vs Cleveland Guardians,2025-09-02 22:45:00+00:00,BetOnline.ag,Boston Red Sox,1.4,0.7142857142857143,h2h,1.3828571428571428,1.0,favorite,baseball_mlb
Boston Red Sox vs Cleveland Guardians,2025-09-02 22:45:00+00:00,DraftKings,Boston Red Sox,1.37,0.7299270072992701,h2h,1.3828571428571428,1.0,favorite,baseball_mlb
Boston Red Sox vs Cleveland Guardians,2025-09-02 22:45:00+00:00,Fliff,Boston Red Sox,1.34,0.7462686567164178,h2h,1.3828571428571428,1.0,favorite,baseball_mlb
Boston Red Sox vs Cleveland Guardians,2025-09-02 22:45:00+00:00,BetUS,Boston Red Sox,1.39,0.7194244604316548,h2h,1.3828571428571428,1.0,favorite,baseball_mlb
Boston Red Sox vs Cleveland Guardians,2025-09-02 22:45:00+00:00,Bovada,Boston Red Sox,1.38,0.7246376811594204,h2h,1.3828571428571428,1.0,favorite,baseball_mlb
Boston Red Sox vs Cleveland Guardians,2025-09-02 22:45:00+00:00,ESPN BET,Boston Red Sox,1.38,0.7246376811594204,h2h,1.3828571428571428,1.0,favorite,baseball_mlb
Boston Red Sox vs Cleveland Guardians,2025-09-02 22:45:00+00:00,Hard Rock Bet,Boston Red Sox,1.4,0.7142857142857143,h2h,1.3828571428571428,1.0,favorite,baseball_mlb
Boston Red Sox vs Cleveland Guardians,2025-09-02 22:45:00+00:00,BetMGM,Boston Red Sox,1.36,0.7352941176470588,h2h,1.3828571428571428,1.0,favorite,baseball_mlb
Boston Red Sox vs Cleveland Guardians,2025-09-02 22:45:00+00:00,betPARX,Boston Red Sox,1.4,0.7142857142857143,h2h,1.3828571428571428,1.0,favorite,baseball_mlb
Boston Red Sox vs Cleveland Guardians,2025-09-02 22:45:00+00:00,Bally Bet,Boston Red Sox,1.4,0.7142857142857143,h2h,1.3828571428571428,1.0,favorite,baseball_mlb
Boston Red Sox vs Cleveland Guardians,2025-09-02 22:45:00+00:00,BetRivers,Boston Red Sox,1.4,0.7142857142857143,h2h,1.3828571428571428,1.0,favorite,baseball_mlb
