fight,commence_time,bookmaker,fighter,decimal_odds,implied_prob,avg_decimal,rank,role
An Tuan Ho vs Eduardo Henrique,2025-09-03 00:40:00+00:00,BetOnline.ag,An Tuan Ho,2.15,0.46511627906976744,2.0999999999999996,3.0,underdog
An Tuan Ho vs Eduardo Henrique,2025-09-03 00:40:00+00:00,BetAnySports,An Tuan Ho,2.05,0.48780487804878053,2.0999999999999996,3.0,underdog
An Tuan Ho vs Eduardo Henrique,2025-09-03 00:40:00+00:00,BetOnline.ag,Eduardo Henrique,1.74,0.5747126436781609,1.74,2.0,underdog
An Tuan Ho vs Eduardo Henrique,2025-09-03 00:40:00+00:00,BetAnySports,Eduardo Henrique,1.74,0.5747126436781609,1.74,2.0,underdog
An Tuan Ho vs Eduardo Henrique,2025-09-03 00:40:00+00:00,BetOnline.ag,Over 2.5,2.49,0.4016064257028112,2.4450000000000003,4.0,underdog
An Tuan Ho vs Eduardo Henrique,2025-09-03 00:40:00+00:00,BetAnySports,Over 2.5,2.4,0.4166666666666667,2.4450000000000003,4.0,underdog
An Tuan Ho vs Eduardo Henrique,2025-09-03 00:40:00+00:00,BetOnline.ag,Under 2.5,1.59,0.6289308176100629,1.59,1.0,favorite
An Tuan Ho vs Eduardo Henrique,2025-09-03 00:40:00+00:00,BetAnySports,Under 2.5,1.59,0.6289308176100629,1.59,1.0,favorite
Andreas Gustafsson Berg vs Rinat Fakhretdinov,2025-09-06 18:15:00+00:00,BetOnline.ag,Andreas Gustafsson Berg,1.83,0.5464480874316939,1.827,2.0,underdog
Andreas Gustafsson Berg vs Rinat Fakhretdinov,2025-09-06 18:15:00+00:00,Fliff,Andreas Gustafsson Berg,1.77,0.5649717514124294,1.827,2.0,underdog
Andreas Gustafsson Berg vs Rinat Fakhretdinov,2025-09-06 18:15:00+00:00,DraftKings,Andreas Gustafsson Berg,1.85,0.5405405405405405,1.827,2.0,underdog
Andreas Gustafsson Berg vs Rinat Fakhretdinov,2025-09-06 18:15:00+00:00,BetUS,Andreas Gustafsson Berg,1.83,0.5464480874316939,1.827,2.0,underdog
Andreas Gustafsson Berg vs Rinat Fakhretdinov,2025-09-06 18:15:00+00:00,Bally Bet,Andreas Gustafsson Berg,1.83,0.5464480874316939,1.827,2.0,underdog
Andreas Gustafsson Berg vs Rinat Fakhretdinov,2025-09-06 18:15:00+00:00,betPARX,Andreas Gustafsson Berg,1.83,0.5464480874316939,1.827,2.0,underdog
Andreas Gustafsson Berg vs Rinat Fakhretdinov,2025-09-06 18:15:00+00:00,BetRivers,Andreas Gustafsson Berg,1.83,0.5464480874316939,1.827,2.0,underdog
Andreas Gustafsson Berg vs Rinat Fakhretdinov,2025-09-06 18:15:00+00:00,ESPN BET,Andreas Gustafsson Berg,1.8,0.5555555555555556,1.827,2.0,underdog
Andreas Gustafsson Berg vs Rinat Fakhretdinov,2025-09-06 18:15:00+00:00,FanDuel,Andreas Gustafsson Berg,1.83,0.5464480874316939,1.827,2.0,underdog
Andreas Gustafsson Berg vs Rinat Fakhretdinov,2025-09-06 18:15:00+00:00,BetAnySports,Andreas Gustafsson Berg,1.87,0.53475935828877,1.827,2.0,underdog
Andreas Gustafsson Berg vs Rinat Fakhretdinov,2025-09-06 18:15:00+00:00,BetOnline.ag,Over 2.5,1.49,0.6711409395973155,1.4966666666666668,1.0,favorite
Andreas Gustafsson Berg vs Rinat Fakhretdinov,2025-09-06 18:15:00+00:00,DraftKings,Over 2.5,1.51,0.6622516556291391,1.4966666666666668,1.0,favorite
Andreas Gustafsson Berg vs Rinat Fakhretdinov,2025-09-06 18:15:00+00:00,BetUS,Over 2.5,1.49,0.6711409395973155,1.4966666666666668,1.0,favorite
Andreas Gustafsson Berg vs Rinat Fakhretdinov,2025-09-06 18:15:00+00:00,BetOnline.ag,Rinat Fakhretdinov,2.0,0.5,1.9629999999999999,3.0,underdog
Andreas Gustafsson Berg vs Rinat Fakhretdinov,2025-09-06 18:15:00+00:00,Fliff,Rinat Fakhretdinov,1.91,0.5235602094240838,1.9629999999999999,3.0,underdog
Andreas Gustafsson Berg vs Rinat Fakhretdinov,2025-09-06 18:15:00+00:00,DraftKings,Rinat Fakhretdinov,1.98,0.5050505050505051,1.9629999999999999,3.0,underdog
Andreas Gustafsson Berg vs Rinat Fakhretdinov,2025-09-06 18:15:00+00:00,BetUS,Rinat Fakhretdinov,2.0,0.5,1.9629999999999999,3.0,underdog
Andreas Gustafsson Berg vs Rinat Fakhretdinov,2025-09-06 18:15:00+00:00,Bally Bet,Rinat Fakhretdinov,1.96,0.5102040816326531,1.9629999999999999,3.0,underdog
Andreas Gustafsson Berg vs Rinat Fakhretdinov,2025-09-06 18:15:00+00:00,betPARX,Rinat Fakhretdinov,1.96,0.5102040816326531,1.9629999999999999,3.0,underdog
Andreas Gustafsson Berg vs Rinat Fakhretdinov,2025-09-06 18:15:00+00:00,BetRivers,Rinat Fakhretdinov,1.96,0.5102040816326531,1.9629999999999999,3.0,underdog
Andreas Gustafsson Berg vs Rinat Fakhretdinov,2025-09-06 18:15:00+00:00,ESPN BET,Rinat Fakhretdinov,2.05,0.48780487804878053,1.9629999999999999,3.0,underdog
Andreas Gustafsson Berg vs Rinat Fakhretdinov,2025-09-06 18:15:00+00:00,FanDuel,Rinat Fakhretdinov,1.94,0.5154639175257733,1.9629999999999999,3.0,underdog
Andreas Gustafsson Berg vs Rinat Fakhretdinov,2025-09-06 18:15:00+00:00,BetAnySports,Rinat Fakhretdinov,1.87,0.53475935828877,1.9629999999999999,3.0,underdog
Andreas Gustafsson Berg vs Rinat Fakhretdinov,2025-09-06 18:15:00+00:00,BetOnline.ag,Under 2.5,2.77,0.36101083032490977,2.6566666666666667,4.0,underdog
Andreas Gustafsson Berg vs Rinat Fakhretdinov,2025-09-06 18:15:00+00:00,DraftKings,Under 2.5,2.5,0.4,2.6566666666666667,4.0,underdog
